requirement_id,source_id,locator,topic,requirement_summary,applicability,applicability_rationale,implementation_status,code,test,evidence,owner_phase
"IFRS9-ECL-001","SRC-IFRS9","IFRS 9 5.5.3; 5.5.5","impairment","Mensurar ECL de 12 meses sem SICR e lifetime ECL quando houver SICR.","applicable","Núcleo impairment/ECL definido em docs/SCOPE.md.","implemented","src/ecl/calculation/stage1.py; src/ecl/calculation/stage2.py; src/ecl/calculation/scenario_engine.py; src/ecl/calculation/grouping.py; src/validation/reconciliation/ecl_ledger.py","tests/models/test_stage1_ecl.py; tests/models/test_stage2_ecl.py; tests/models/test_ecl_golden_cases.py; tests/models/test_ecl_grouping.py; tests/models/test_ecl_reconciliation.py","implemented:stage1-12m-stage2-lifetime-individual-collective-reconciled-golden-synthetic-unapproved","Fase 10"
"IFRS9-ECL-002","SRC-IFRS9","IFRS 9 5.5.17","ecl","Mensuração deve refletir valor imparcial ponderado por probabilidade, valor do dinheiro no tempo e informação razoável e suportável.","applicable","Requisito central do motor ECL por período e cenário.","implemented","src/domain/scenarios; src/models/lgd; src/models/ead; src/models/forward_looking; src/ecl/calculation; src/ecl/stage3/cash_shortfall.py; src/ecl/discounting/effective_interest.py; src/ecl/overlays/management.py; src/validation/reconciliation/ecl_ledger.py","tests/models/test_ecl_golden_cases.py; tests/models/test_scenario_ecl.py; tests/models/test_stage1_ecl.py; tests/models/test_stage2_ecl.py; tests/models/test_stage3_ecl.py; tests/models/test_poci_scenarios.py; tests/models/test_ecl_reconciliation.py","implemented:probability-weighted-time-value-forward-looking-reconciled-golden-mechanics-synthetic-unapproved","Fases 7 a 10"
"IFRS9-SICR-001","SRC-IFRS9","IFRS 9 5.5.9; B5.5.1-B5.5.27","sicr","Comparar risco de default na data-base com reconhecimento inicial usando informação razoável e suportável.","applicable","Necessário para transição entre ECL 12 meses e lifetime.","partial","src/models/sicr/origination.py; src/models/sicr/engine.py; src/models/sicr/history.py; src/models/sicr/validation.py","tests/models/test_sicr_origination.py; tests/models/test_sicr_engine.py; tests/models/test_stage_history.py; tests/models/test_sicr_validation.py","partial:complete-synthetic-engine-but-oot-proxy-failed; institutional-calibration-pending","Fase 6"
"IFRS9-DEFAULT-001","SRC-IFRS9","IFRS 9 Appendix A; 5.5; B5.5.37","default","Definir e aplicar consistentemente crédito deteriorado/default com evidência e data-base.","applicable","Base para Stage 3, PD, LGD e write-off.","partial","src/models/pd/default_definition.py; src/models/sicr/stage3.py; src/models/sicr/history.py; config/default_policy/2026.07.1.json","tests/models/test_default_definition.py; tests/models/test_stage3_default.py; tests/models/test_stage_history.py","partial:versioned-default-stage3-contagion-and-cure-history; POCI-pending","Fases 3, 5 e 6"
"IFRS9-FL-001","SRC-IFRS9","IFRS 9 5.5.17(c)","forward-looking","Incorporar informação histórica, atual e prospectiva razoável e suportável sem custo ou esforço indevido.","applicable","Cenários prospectivos integram o escopo ECL.","partial","src/domain/scenarios; src/application/services/scenarios.py; src/models/forward_looking/relations.py; src/ecl/calculation/scenario_engine.py; src/ecl/calculation/sensitivity.py; config/scenario_service/2026.07.1.json; config/macro_risk_relations/2026.07.1.json; config/scenario_sensitivity/2026.07.1.json","tests/application/test_scenario_service.py; tests/models/test_macro_risk_relations.py; tests/models/test_scenario_ecl.py; tests/models/test_scenario_sensitivity_overlays.py","partial:governed-synthetic-scenario-ecl-with-sensitivity-and-stress-not-approved; institutional-calibration-and-approval-pending","Fase 9"
"IFRS9-DISC-001","SRC-IFRS9","IFRS 9 5.5.17(b)","discounting","Descontar cash shortfalls pela taxa apropriada consistente com a taxa efetiva.","applicable","Desconto por EIR é necessário em todos os fluxos de ECL.","implemented","src/ecl/discounting/effective_interest.py; src/ecl/calculation/stage1.py; src/ecl/calculation/stage2.py; src/ecl/stage3/cash_shortfall.py; src/ecl/calculation/poci.py","tests/models/test_stage1_ecl.py; tests/models/test_stage2_ecl.py; tests/models/test_stage3_ecl.py; tests/models/test_ecl_golden_cases.py; tests/models/test_poci_scenarios.py","implemented:original-eir-stage1-stage2-stage3-modification-and-credit-adjusted-poci-discounting-synthetic","Fase 10"
"IFRS9-POCI-001","SRC-IFRS9","IFRS 9 5.5.13-5.5.14","poci","Para ativos POCI reconhecer mudanças acumuladas na lifetime ECL desde o reconhecimento inicial.","applicable","POCI está no perímetro sintético e requer fluxo próprio.","implemented","src/ecl/calculation/poci.py","tests/models/test_poci.py; tests/models/test_poci_scenarios.py; tests/fixtures/golden/poci_cases.csv","implemented:credit-adjusted-eir-scenario-lifetime-change-gain-loss-and-stress-synthetic-unapproved","Fases 3, 6 e 10"
"IFRS9-DISCLOSURE-001","SRC-IFRS9","IFRS 7 35H-35N (relacionado)","disclosure","Produzir reconciliações e divulgações de risco de crédito e provisão por estágio.","applicable","Relatórios sintéticos e auditáveis estão no escopo; IFRS 7 é fonte relacionada a catalogar.","planned","src/application/services","tests/regulatory/test_disclosure_reconciliation.py","planned:disclosure-pack","Fase 13"
"IFRS9-HEDGE-NA","SRC-IFRS9","IFRS 9 chapter 6","hedge accounting","Contabilidade de hedge.","not_applicable","Excluída explicitamente do escopo inicial em docs/SCOPE.md; não é necessária ao núcleo impairment.","not_applicable","","","docs/SCOPE.md#exclusoes-explicitas","N/A"
"CMN4966-STAGE-001","SRC-CMN4966","arts. 37-39","staging","Alocar instrumentos em três estágios, avaliar SICR e revisar a alocação nas datas requeridas.","conditionally_applicable","Aplicável à população/instituição simulada quando no âmbito do art. 1º.","partial","src/domain/staging; config/risk_policy/2026.07.1.json","tests/domain/test_domain_models.py; tests/configuration/test_risk_policy.py","partial:types-and-demonstrative-policy","Fase 8"
"CMN4966-ECL-001","SRC-CMN4966","arts. 40-48","ecl","Avaliar, constituir e revisar provisão por perda esperada considerando estágio, prazo e bases aplicáveis.","conditionally_applicable","Depende do enquadramento institucional e do instrumento.","partial","src/ecl; src/regulatory/cmn4966/provision_floor.py","tests/regulatory/test_cmn4966_ecl.py","partial:ecl-mechanics-and-separate-official-local-floor-implemented; full-perimeter-and-monthly-review-pending","Fases 9 e 11"
"CMN4966-DEFAULT-001","SRC-CMN4966","art. 3º; art. 37 III","default","Caracterizar ativo com problema de recuperação de crédito e alocá-lo no terceiro estágio.","conditionally_applicable","Necessário no perímetro CMN simulado.","partial","src/models/pd/default_definition.py; config/default_policy/2026.07.1.json","tests/models/test_default_definition.py","partial:problem-asset-trigger; counterparty-drag-and-stage-pending","Fases 5, 8 e 11"
"CMN4966-CURE-001","SRC-CMN4966","art. 3º §§4º-6º; arts. 37-39","cure","Descaracterização/cura deve seguir critérios consistentes, verificáveis, documentados e revisão de estágio.","conditionally_applicable","Cura integra o escopo; três meses são hipótese operacional, não prazo normativo declarado.","partial","src/models/pd/default_definition.py; config/default_policy/2026.07.1.json","tests/models/test_default_definition.py","partial:cure-evidence-and-low-frequency-exception; stage-review-pending","Fases 5, 8 e 11"
"CMN4966-WO-001","SRC-CMN4966","art. 49","write-off","Baixar ativo sem expectativa de recuperação, manter controles e critérios documentados.","conditionally_applicable","Write-off e recuperações pós-baixa integram o escopo sintético.","implemented","src/ecl/stage3/cash_shortfall.py; src/regulatory/cmn4966/recognition.py","tests/regulatory/test_cmn4966_writeoff.py; tests/models/test_stage3_ecl.py","implemented:partial-total-writeoff-chronological-ledger-post-writeoff-recovery-and-stage3-projection","Fases 9 e 11"
"CMN4966-MOD-001","SRC-CMN4966","arts. 22-35","impairment","Distinguir modificação sem desreconhecimento de baixa e reconhecimento de ativo substituto, preservando ou recalculando a EIR conforme a rota.","conditionally_applicable","Aplicável aos ativos modificados do perímetro; fatos substantivos e valor justo são entradas documentadas.","implemented","src/domain/contracts/modifications.py; src/regulatory/cmn4966/recognition.py","tests/domain/test_modifications.py; tests/regulatory/test_cmn4966_writeoff.py","implemented:documented-route-original-eir-for-continuing-asset-and-new-eir-after-derecognition","Fase 11"
"CMN4966-REV-001","SRC-CMN4966","arts. 41; 48","review","Revisar risco/perda e provisão na periodicidade mínima aplicável.","conditionally_applicable","Motor mensal deverá produzir evidência por data-base.","planned","src/application/jobs","tests/regulatory/test_monthly_review.py","planned:monthly-run-manifest","Fase 11"
"BCB352-STAGE-001","SRC-BCB352","arts. 37-39","staging","Aplicar estágios e SICR às entidades abrangidas pela Resolução BCB 352.","conditionally_applicable","Somente quando o tipo de instituição simulado estiver no âmbito do art. 1º.","planned","src/regulatory/bcb352","tests/regulatory/test_bcb352_applicability.py","planned:applicability-and-stage","Fase 11"
"BCB352-ECL-001","SRC-BCB352","arts. 40-49","ecl","Mensurar, constituir, revisar e baixar perdas esperadas conforme o regime BCB aplicável.","conditionally_applicable","Não é intercambiável automaticamente com CMN 4.966.","planned","src/regulatory/bcb352; src/ecl","tests/regulatory/test_bcb352_ecl.py","planned:bcb352-provision-report","Fase 11"
"BCB352-FLOOR-001","SRC-BCB352","Anexo I; Cosif capítulo 4, itens 1-3 e 13-15","ecl","Aplicar individualmente o piso de perda incorrida por carteira e mês desde o inadimplemento, sem substituir a ECL.","conditionally_applicable","Exige enquadramento institucional e da carteira; a camada não presume aplicabilidade.","implemented","src/regulatory/cmn4966/provision_floor.py; config/regulatory/cmn4966_provision_floor/2025.01.1.json","tests/regulatory/test_cmn4966_ecl.py","implemented:22-official-floor-bands-date-versioned-and-separated-from-accounting-ecl","Fase 11"
"CMN4966-SIMPLIFIED-001","SRC-CMN4966","arts. 50-51; Resolução BCB 352 Anexo II","ecl","Selecionar a metodologia simplificada conforme segmento e autorização, constituindo pisos e adicionais sem misturar o motor completo.","conditionally_applicable","Regra para S4/S5 e exceções cooperativas; fatos de enquadramento e autorização são entradas obrigatórias.","implemented","src/regulatory/cmn4966/simplified.py; config/regulatory/cmn4966_simplified/2025.01.1.json","tests/regulatory/test_cmn4966_simplified.py","implemented:applicability-router-separated-strategy-all-official-additional-rates-and-methodology-guard","Fase 11"
"CMN4966-CLASS-001","SRC-CMN4966","arts. 1º; 4º-8º","impairment","Documentar modelo de negócio e SPPI, classificar o ativo, decidir elegibilidade ao impairment e tratar reclassificação prospectiva.","conditionally_applicable","Limitado aos ativos financeiros do perímetro declarado e dependente de política institucional aprovada.","implemented","src/regulatory/cmn4966/classification.py","tests/regulatory/test_cmn4966_classification.py","implemented:governed-business-model-explainable-sppi-three-categories-impairment-routing-and-prospective-reclassification","Fase 11"
"BCB352-DISC-001","SRC-BCB352","arts. 89-91","disclosure","Divulgar políticas, movimentos de provisão, estágios, ativos problemáticos e baixados conforme aplicável.","conditionally_applicable","Depende do enquadramento e do tipo de demonstração.","planned","src/regulatory/bcb352","tests/regulatory/test_bcb352_disclosures.py","planned:bcb352-disclosure-pack","Fase 13"
"DOC3040-LAYOUT-001","SRC-DOC3040","Leiaute e instruções NR do Documento 3040","doc3040","Gerar XML sintético conforme leiaute e instruções versionados aplicáveis à data-base.","conditionally_applicable","Somente para cenário de instituição/operação obrigada; fluxo é pré-validação sem transmissão.","planned","src/regulatory/doc3040","tests/regulatory/test_doc3040_layout.py","planned:versioned-layout-manifest","Fase 12"
"DOC3040-CRIT-001","SRC-DOC3040","Planilha de Críticas NR; Validador release 13708","doc3040","Executar críticas sintáticas e semânticas versionadas e registrar evidência por regra.","conditionally_applicable","Pré-validação local deve usar release compatível com a data-base.","planned","src/regulatory/doc3040","tests/regulatory/test_doc3040_critics.py","planned:critic-report","Fase 12"
"DOC3040-XSD-001","SRC-DOC3040","Página Doc3040 consultada em 2026-07-14","doc3040","Vincular qualquer validação XSD ao documento, versão e origem corretos.","applicable","A página consultada lista XSD 3045, não XSD 3040; implementação deve falhar sem artefato 3040 oficialmente identificado.","planned","src/regulatory/doc3040","tests/regulatory/test_doc3040_schema_provenance.py","planned:schema-provenance-guard","Fase 12"
"DOC3040-SEND-NA","SRC-DOC3040","Manual de Envio","doc3040","Transmissão oficial e obtenção de protocolo.","not_applicable","O produto limita-se a geração e pré-validação sintética; transmissão exige credenciais e homologação institucional.","not_applicable","","","docs/SCOPE.md#documento-3040","N/A"
